iter	Passed	Remaining
0	9	9520
1	18	9422
2	30	9990
3	41	10294
4	52	10404
5	63	10585
6	76	10918
7	88	10952
8	99	10987
9	111	11046
10	123	11142
11	133	10974
12	142	10853
13	153	10798
14	162	10674
15	174	10712
16	185	10731
17	196	10730
18	208	10762
19	219	10769
20	231	10790
21	242	10784
22	261	11117
23	276	11236
24	287	11222
25	299	11234
26	312	11270
27	325	11295
28	337	11316
29	349	11296
30	362	11323
31	372	11258
32	383	11234
33	394	11221
34	404	11166
35	416	11147
36	427	11127
37	439	11126
38	451	11113
39	460	11051
40	469	10985
41	484	11041
42	495	11019
43	505	10992
44	517	10984
45	529	10979
46	540	10962
47	551	10943
48	561	10900
49	575	10931
50	587	10940
51	598	10918
52	610	10906
53	619	10860
54	631	10854
55	640	10798
56	652	10792
57	663	10770
58	674	10750
59	683	10711
60	696	10717
61	706	10689
62	716	10652
63	727	10641
64	739	10644
65	751	10638
66	764	10650
67	776	10646
68	787	10625
69	797	10589
70	806	10554
71	818	10543
72	830	10543
73	841	10528
74	853	10526
75	863	10496
76	872	10463
77	884	10449
78	893	10417
79	902	10383
80	915	10385
81	927	10381
82	937	10356
83	949	10359
84	962	10363
85	975	10363
86	987	10364
87	1001	10376
88	1014	10387
89	1029	10405
90	1038	10373
91	1050	10363
92	1059	10329
93	1072	10339
94	1082	10314
95	1093	10298
96	1107	10308
97	1120	10311
98	1131	10293
99	1143	10290
100	1160	10326
101	1175	10347
102	1187	10338
103	1196	10312
104	1209	10306
105	1220	10294
106	1231	10278
107	1240	10249
108	1251	10229
109	1260	10197
110	1271	10181
111	1282	10165
112	1291	10133
113	1300	10107
114	1310	10082
115	1320	10063
116	1333	10061
117	1344	10046
118	1355	10032
119	1367	10030
120	1380	10026
121	1389	9999
122	1398	9971
123	1411	9971
124	1423	9961
125	1438	9980
126	1450	9969
127	1462	9960
128	1473	9950
129	1485	9941
130	1495	9920
131	1504	9892
132	1515	9876
133	1527	9872
134	1536	9844
135	1549	9842
136	1561	9836
137	1574	9836
138	1585	9823
139	1598	9817
140	1610	9811
141	1623	9808
142	1635	9801
143	1647	9793
144	1657	9774
145	1669	9763
146	1681	9755
147	1691	9739
148	1703	9728
149	1716	9728
150	1729	9724
151	1740	9709
152	1750	9691
153	1763	9688
154	1774	9673
155	1785	9661
156	1798	9655
157	1810	9648
158	1821	9636
159	1832	9622
160	1845	9618
161	1858	9612
162	1870	9602
163	1879	9580
164	1891	9571
165	1902	9560
166	1914	9550
167	1923	9527
168	1935	9516
169	1946	9504
170	1956	9482
171	1967	9472
172	1980	9466
173	1994	9469
174	2009	9471
175	2020	9459
176	2032	9452
177	2045	9445
178	2056	9430
179	2068	9425
180	2079	9411
181	2090	9393
182	2101	9382
183	2110	9361
184	2120	9342
185	2135	9345
186	2146	9330
187	2158	9320
188	2169	9308
189	2181	9300
190	2194	9296
191	2205	9283
192	2220	9283
193	2231	9271
194	2242	9257
195	2255	9253
196	2267	9242
197	2277	9227
198	2290	9220
199	2302	9208
200	2310	9185
201	2322	9173
202	2331	9152
203	2340	9131
204	2352	9124
205	2365	9118
206	2374	9098
207	2386	9086
208	2399	9080
209	2411	9070
210	2422	9058
211	2434	9047
212	2444	9031
213	2454	9014
214	2465	9000
215	2476	8989
216	2487	8977
217	2498	8964
218	2508	8946
219	2520	8934
220	2531	8922
221	2542	8909
222	2554	8899
223	2565	8889
224	2577	8877
225	2589	8866
226	2601	8858
227	2611	8843
228	2623	8832
229	2634	8818
230	2645	8807
231	2656	8792
232	2666	8779
233	2679	8770
234	2692	8763
235	2702	8748
236	2714	8739
237	2727	8733
238	2739	8721
239	2751	8714
240	2764	8705
241	2775	8692
242	2786	8681
243	2801	8678
244	2813	8670
245	2822	8650
246	2833	8637
247	2845	8628
248	2854	8610
249	2867	8602
250	2880	8596
251	2893	8588
252	2905	8579
253	2915	8562
254	2925	8547
255	2937	8536
256	2947	8520
257	2956	8503
258	2966	8487
259	2977	8474
260	2989	8465
261	2999	8448
262	3011	8439
263	3024	8432
264	3037	8424
265	3049	8415
266	3061	8403
267	3070	8386
268	3081	8373
269	3092	8361
270	3103	8347
271	3114	8335
272	3124	8321
273	3135	8309
274	3146	8296
275	3158	8284
276	3169	8272
277	3179	8258
278	3191	8246
279	3202	8234
280	3213	8222
281	3223	8208
282	3235	8196
283	3246	8184
284	3257	8171
285	3271	8166
286	3283	8157
287	3297	8152
288	3308	8139
289	3321	8131
290	3336	8130
291	3351	8127
292	3361	8111
293	3373	8101
294	3382	8084
295	3393	8071
296	3402	8054
297	3413	8041
298	3424	8028
299	3433	8011
300	3445	8000
301	3458	7992
302	3470	7982
303	3482	7973
304	3494	7962
305	3504	7947
306	3516	7936
307	3526	7923
308	3539	7914
309	3549	7901
310	3561	7890
311	3572	7878
312	3584	7866
313	3594	7853
314	3605	7841
315	3616	7828
316	3627	7815
317	3638	7803
318	3649	7790
319	3659	7777
320	3670	7764
321	3682	7754
322	3693	7742
323	3710	7741
324	3721	7729
325	3731	7715
326	3744	7705
327	3754	7692
328	3766	7681
329	3777	7668
330	3788	7657
331	3797	7640
332	3808	7628
333	3819	7616
334	3830	7604
335	3839	7588
336	3852	7578
337	3861	7563
338	3872	7551
339	3886	7544
